Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
4	280	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
4	280	0	0	0.0	0.0	0.0	0.0	6	533	6	533	0.0	0.0	0.0	0.0	dns
4	280	0	0	0.0	4.0	0.0	280.0	6	533	6	533	0.0	0.0	0.0	0.0	dns
4	280	0	0	0.0	4.0	0.0	280.0	6	533	0	0	0.0	6.0	0.0	533.0	dns
4	280	0	0	0.0	2.0	0.0	140.0	6	533	0	0	0.0	6.0	0.0	533.0	dns
4	280	0	0	0.0	2.0	0.0	140.0	7	882	1	349	1.0	3.5	349.0	441.0	dns
4	280	0	0	0.0	1.3333333333333333	0.0	93.33333333333333	7	882	1	349	1.0	3.5	349.0	441.0	dns
4	280	0	0	0.0	1.3333333333333333	0.0	93.33333333333333	8	1197	1	315	1.0	2.6666666666666665	315.0	399.0	dns
4	280	0	0	0.0	1.0	0.0	70.0	8	1197	1	315	1.0	2.6666666666666665	315.0	399.0	dns
4	280	0	0	0.0	1.0	0.0	70.0	8	1197	0	0	0.0	2.0	0.0	299.25	dns
5	322	1	42	1.0	1.0	42.0	64.4	8	1197	0	0	0.0	2.0	0.0	299.25	dns
5	322	1	42	1.0	1.0	42.0	64.4	10	1585	2	388	2.0	2.0	388.0	317.0	dns
5	322	0	0	0.0	0.8333333333333334	0.0	53.666666666666664	10	1585	2	388	2.0	2.0	388.0	317.0	dns
5	322	0	0	0.0	0.8333333333333334	0.0	53.666666666666664	10	1585	0	0	0.0	1.6666666666666667	0.0	264.1666666666667	dns
5	322	0	0	0.0	0.7142857142857143	0.0	46.0	10	1585	0	0	0.0	1.6666666666666667	0.0	264.1666666666667	dns
5	322	0	0	0.0	0.7142857142857143	0.0	46.0	11	1938	1	353	1.0	1.5714285714285714	353.0	276.85714285714283	dns
5	322	0	0	0.0	0.625	0.0	40.25	11	1938	1	353	1.0	1.5714285714285714	353.0	276.85714285714283	dns
5	322	0	0	0.0	0.625	0.0	40.25	11	1938	0	0	0.0	1.375	0.0	242.25	dns
5	322	0	0	0.0	0.5555555555555556	0.0	35.77777777777778	11	1938	0	0	0.0	1.375	0.0	242.25	dns
5	322	0	0	0.0	0.5555555555555556	0.0	35.77777777777778	12	2241	1	303	1.0	1.3333333333333333	303.0	249.0	dns
6	388	1	66	1.0	0.6	66.0	38.8	12	2241	1	303	1.0	1.3333333333333333	303.0	249.0	dns
6	388	1	66	1.0	0.6	66.0	38.8	12	2241	0	0	0.0	1.2	0.0	224.1	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2241	0	0	0.0	1.2	0.0	224.1	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	13	2312	1	71	1.0	1.1818181818181819	71.0	210.1818181818182	dns
15	1004	9	616	9.0	1.25	616.0	83.66666666666667	13	2312	1	71	1.0	1.1818181818181819	71.0	210.1818181818182	dns
15	1004	9	616	9.0	1.25	616.0	83.66666666666667	23	3147	10	835	10.0	1.9166666666666667	835.0	262.25	dns
15	1004	0	0	0.0	1.1538461538461537	0.0	77.23076923076923	23	3147	10	835	10.0	1.9166666666666667	835.0	262.25	dns
15	1004	0	0	0.0	1.1538461538461537	0.0	77.23076923076923	24	3337	1	190	1.0	1.8461538461538463	190.0	256.6923076923077	dns
15	1004	0	0	0.0	1.0714285714285714	0.0	71.71428571428571	24	3337	1	190	1.0	1.8461538461538463	190.0	256.6923076923077	dns
15	1004	0	0	0.0	1.0714285714285714	0.0	71.71428571428571	24	3337	0	0	0.0	1.7142857142857142	0.0	238.35714285714286	dns
