Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
0	0	0	0	0.0	0.0	0.0	0.0	1	98	1	98	0.0	0.0	0.0	0.0	ping
1	98	1	98	1.0	1.0	98.0	98.0	1	98	1	98	0.0	0.0	0.0	0.0	ping
1	98	1	98	1.0	1.0	98.0	98.0	2	196	1	98	1.0	2.0	98.0	196.0	ping
1	98	0	0	0.0	0.5	0.0	49.0	2	196	1	98	1.0	2.0	98.0	196.0	ping
1	98	0	0	0.0	0.5	0.0	49.0	2	196	0	0	0.0	1.0	0.0	98.0	ping
2	196	1	98	1.0	0.6666666666666666	98.0	65.33333333333333	2	196	0	0	0.0	1.0	0.0	98.0	ping
2	196	1	98	1.0	0.6666666666666666	98.0	65.33333333333333	3	294	1	98	1.0	1.0	98.0	98.0	ping
3	294	1	98	1.0	0.75	98.0	73.5	3	294	1	98	1.0	1.0	98.0	98.0	ping
3	294	1	98	1.0	0.75	98.0	73.5	4	392	1	98	1.0	1.0	98.0	98.0	ping
5	434	2	140	2.0	1.0	140.0	86.8	4	392	1	98	1.0	1.0	98.0	98.0	ping
5	434	2	140	2.0	1.0	140.0	86.8	6	532	2	140	2.0	1.2	140.0	106.4	ping
6	532	1	98	1.0	1.0	98.0	88.66666666666667	6	532	2	140	2.0	1.2	140.0	106.4	ping
6	532	1	98	1.0	1.0	98.0	88.66666666666667	7	630	1	98	1.0	1.1666666666666667	98.0	105.0	ping
7	630	1	98	1.0	1.0	98.0	90.0	7	630	1	98	1.0	1.1666666666666667	98.0	105.0	ping
7	630	1	98	1.0	1.0	98.0	90.0	8	728	1	98	1.0	1.1428571428571428	98.0	104.0	ping
8	728	1	98	1.0	1.0	98.0	91.0	8	728	1	98	1.0	1.1428571428571428	98.0	104.0	ping
8	728	1	98	1.0	1.0	98.0	91.0	9	826	1	98	1.0	1.125	98.0	103.25	ping
