Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
6	420	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	telnet
6	420	0	0	0.0	0.0	0.0	0.0	7	520	7	520	0.0	0.0	0.0	0.0	telnet
88	5832	82	5412	82.0	88.0	5412.0	5832.0	7	520	7	520	0.0	0.0	0.0	0.0	telnet
88	5832	82	5412	82.0	88.0	5412.0	5832.0	90	7821	83	7301	83.0	90.0	7301.0	7821.0	telnet
207	13686	119	7854	119.0	103.5	7854.0	6843.0	90	7821	83	7301	83.0	90.0	7301.0	7821.0	telnet
207	13686	119	7854	119.0	103.5	7854.0	6843.0	209	18275	119	10454	119.0	104.5	10454.0	9137.5	telnet
297	19626	90	5940	90.0	99.0	5940.0	6542.0	209	18275	119	10454	119.0	104.5	10454.0	9137.5	telnet
297	19626	90	5940	90.0	99.0	5940.0	6542.0	299	26183	90	7908	90.0	99.66666666666667	7908.0	8727.666666666666	telnet
473	31242	176	11616	176.0	118.25	11616.0	7810.5	299	26183	90	7908	90.0	99.66666666666667	7908.0	8727.666666666666	telnet
473	31242	176	11616	176.0	118.25	11616.0	7810.5	475	41634	176	15451	176.0	118.75	15451.0	10408.5	telnet
535	35310	62	4068	62.0	107.0	4068.0	7062.0	475	41634	176	15451	176.0	118.75	15451.0	10408.5	telnet
535	35310	62	4068	62.0	107.0	4068.0	7062.0	537	47037	62	5403	62.0	107.4	5403.0	9407.4	telnet
673	44418	138	9108	138.0	112.16666666666667	9108.0	7403.0	537	47037	62	5403	62.0	107.4	5403.0	9407.4	telnet
673	44418	138	9108	138.0	112.16666666666667	9108.0	7403.0	675	59220	138	12183	138.0	112.5	12183.0	9870.0	telnet
816	53856	143	9438	143.0	116.57142857142857	9438.0	7693.714285714285	675	59220	138	12183	138.0	112.5	12183.0	9870.0	telnet
816	53856	143	9438	143.0	116.57142857142857	9438.0	7693.714285714285	818	71830	143	12610	143.0	116.85714285714286	12610.0	10261.42857142857	telnet
912	60192	96	6336	96.0	114.0	6336.0	7524.0	818	71830	143	12610	143.0	116.85714285714286	12610.0	10261.42857142857	telnet
912	60192	96	6336	96.0	114.0	6336.0	7524.0	914	80319	96	8489	96.0	114.25	8489.0	10039.875	telnet
1079	71214	167	11022	167.0	119.88888888888889	11022.0	7912.666666666667	914	80319	96	8489	96.0	114.25	8489.0	10039.875	telnet
1079	71214	167	11022	167.0	119.88888888888889	11022.0	7912.666666666667	1081	95010	167	14691	167.0	120.11111111111111	14691.0	10556.666666666666	telnet
1123	74118	44	2904	44.0	112.3	2904.0	7411.8	1081	95010	167	14691	167.0	120.11111111111111	14691.0	10556.666666666666	telnet
1123	74118	44	2904	44.0	112.3	2904.0	7411.8	1125	98873	44	3863	44.0	112.5	3863.0	9887.3	telnet
1123	74118	0	0	0.0	102.0909090909091	0.0	6738.0	1125	98873	44	3863	44.0	112.5	3863.0	9887.3	telnet
1123	74118	0	0	0.0	102.0909090909091	0.0	6738.0	1125	98873	0	0	0.0	102.27272727272727	0.0	8988.454545454546	telnet
1125	74250	2	132	2.0	93.75	132.0	6187.5	1125	98873	0	0	0.0	102.27272727272727	0.0	8988.454545454546	telnet
