Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
4	280	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
4	280	0	0	0.0	0.0	0.0	0.0	29	4150	29	4150	0.0	0.0	0.0	0.0	voice
4	280	0	0	0.0	4.0	0.0	280.0	29	4150	29	4150	0.0	0.0	0.0	0.0	voice
4	280	0	0	0.0	4.0	0.0	280.0	77	11734	48	7584	48.0	77.0	7584.0	11734.0	voice
4	280	0	0	0.0	2.0	0.0	140.0	77	11734	48	7584	48.0	77.0	7584.0	11734.0	voice
4	280	0	0	0.0	2.0	0.0	140.0	124	19160	47	7426	47.0	62.0	7426.0	9580.0	voice
4	280	0	0	0.0	1.3333333333333333	0.0	93.33333333333333	124	19160	47	7426	47.0	62.0	7426.0	9580.0	voice
4	280	0	0	0.0	1.3333333333333333	0.0	93.33333333333333	173	26902	49	7742	49.0	57.666666666666664	7742.0	8967.333333333334	voice
4	280	0	0	0.0	1.0	0.0	70.0	173	26902	49	7742	49.0	57.666666666666664	7742.0	8967.333333333334	voice
4	280	0	0	0.0	1.0	0.0	70.0	218	34012	45	7110	45.0	54.5	7110.0	8503.0	voice
5	322	1	42	1.0	1.0	42.0	64.4	218	34012	45	7110	45.0	54.5	7110.0	8503.0	voice
5	322	1	42	1.0	1.0	42.0	64.4	261	40690	43	6678	43.0	52.2	6678.0	8138.0	voice
5	322	0	0	0.0	0.8333333333333334	0.0	53.666666666666664	261	40690	43	6678	43.0	52.2	6678.0	8138.0	voice
5	322	0	0	0.0	0.8333333333333334	0.0	53.666666666666664	306	47800	45	7110	45.0	51.0	7110.0	7966.666666666667	voice
5	322	0	0	0.0	0.7142857142857143	0.0	46.0	306	47800	45	7110	45.0	51.0	7110.0	7966.666666666667	voice
5	322	0	0	0.0	0.7142857142857143	0.0	46.0	355	55542	49	7742	49.0	50.714285714285715	7742.0	7934.571428571428	voice
